s0,s1,a0,terminal_flag
24.9,-3.2,255.0,not done
30.5,-23.6,255.0,not done
30.5,-23.6,255.0,done
18.3,-45.2,255.0,not done
17.9,-75.1,255.0,not done
17.5,-78.4,255.0,not done
14.8,-87.9,255.0,not done
12.9,-102.3,255.0,not done
11.8,-105.1,255.0,not done
12.4,-119.7,255.0,not done
11.5,-128.3,255.0,not done
10.4,-137.6,255.0,not done
10.2,-124.7,255.0,not done
9.8,-129.7,255.0,not done
10.2,-145.0,255.0,not done
10.4,-162.6,255.0,not done
9.6,-173.7,255.0,not done
10.1,-185.0,255.0,not done
9.2,-190.8,255.0,not done
8.8,-199.2,255.0,not done
7.7,-201.5,220.0,not done
7.1,-212.0,177.0,not done
7.1,-205.1,186.0,not done
6.4,-207.6,143.0,not done
7.0,-209.8,172.0,not done
6.6,-221.9,143.0,not done
7.1,-217.9,170.0,not done
6.6,-219.6,140.0,not done
6.6,-233.1,132.0,not done
6.7,-238.1,129.0,not done
6.4,-245.2,104.0,not done
6.3,-248.7,99.0,not done
5.9,-251.1,71.0,not done
5.6,-248.7,61.0,not done
5.0,-244.9,32.0,not done
4.3,-246.2,-9.0,not done
3.3,-243.3,-63.0,not done
2.4,-239.7,-108.0,not done
2.5,-207.1,-70.0,not done
2.5,-177.9,-39.0,not done
2.8,-170.5,-15.0,not done
3.3,-165.6,16.0,not done
3.2,-161.2,13.0,not done
2.7,-156.5,-6.0,not done
3.2,-152.1,22.0,not done
2.8,-149.1,3.0,not done
2.0,-140.5,-29.0,not done
1.2,-131.8,-67.0,not done
-0.1,-113.4,-118.0,not done
-1.2,-94.5,-161.0,not done
-2.4,-58.1,-190.0,not done
-3.7,-14.7,-217.0,not done
-4.2,28.8,-203.0,not done
-3.9,59.5,-153.0,not done
-3.5,79.7,-111.0,not done
-2.7,101.1,-49.0,not done
-2.3,125.5,0.0,not done
-0.8,109.8,64.0,not done
0.5,87.3,117.0,not done
1.5,63.4,143.0,not done
2.1,49.9,166.0,not done
3.0,30.7,193.0,not done
3.3,3.3,182.0,not done
